"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
1,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.87472",13,"test-set-1-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-1-k-3-sdline-0.20-sdgroup-0.25",TRUE
2,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.86945",8,"test-set-2-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-2-k-3-sdline-0.20-sdgroup-0.25",TRUE
3,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.93156",16,"test-set-3-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-3-k-3-sdline-0.20-sdgroup-0.25",TRUE
4,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.91519",10,"test-set-4-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-4-k-3-sdline-0.20-sdgroup-0.25",TRUE
5,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.91626",17,"test-set-5-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-5-k-3-sdline-0.20-sdgroup-0.25",TRUE
6,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.92208",11,"test-set-6-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-6-k-3-sdline-0.20-sdgroup-0.25",TRUE
7,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.88195",5,"test-set-7-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-7-k-3-sdline-0.20-sdgroup-0.25",TRUE
8,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.92772",2,"test-set-8-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-8-k-3-sdline-0.20-sdgroup-0.25",TRUE
9,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.89961",4,"test-set-9-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-9-k-3-sdline-0.20-sdgroup-0.25",TRUE
10,3,"turk16-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.87596",9,"test-set-10-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk16",-110,"test-set-10-k-3-sdline-0.20-sdgroup-0.25",TRUE
11,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.95965",11,"test-set-11-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-11-k-3-sdline-0.25-sdgroup-0.15",TRUE
12,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96463",16,"test-set-12-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-12-k-3-sdline-0.25-sdgroup-0.15",TRUE
13,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96384",5,"test-set-13-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-13-k-3-sdline-0.25-sdgroup-0.15",TRUE
14,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96670",5,"test-set-14-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-14-k-3-sdline-0.25-sdgroup-0.15",TRUE
15,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96644",5,"test-set-15-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-15-k-3-sdline-0.25-sdgroup-0.15",TRUE
16,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96517",17,"test-set-16-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-16-k-3-sdline-0.25-sdgroup-0.15",TRUE
17,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.97143",9,"test-set-17-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-17-k-3-sdline-0.25-sdgroup-0.15",TRUE
18,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96597",12,"test-set-18-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-18-k-3-sdline-0.25-sdgroup-0.15",TRUE
19,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.97629",14,"test-set-19-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-19-k-3-sdline-0.25-sdgroup-0.15",TRUE
20,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.97164",19,"test-set-20-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk16",-120,"test-set-20-k-3-sdline-0.25-sdgroup-0.15",TRUE
