"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,20130,"bullet","circle-resid",NA,1,"Images/Lineups/svgs/fileb20b581e0794.svg","turk20",1,"b11.csv"
2,19981,"bullet","circle-resid",NA,11,"Images/Lineups/svgs/fileb20bbecd410.svg","turk20",2,"b12.csv"
3,20044,"bullet","circle-resid",NA,9,"Images/Lineups/svgs/fileb20b5aad3d4d.svg","turk20",3,"b21.csv"
4,20120,"bullet","circle-resid",NA,1,"Images/Lineups/svgs/fileb20b3897be5f.svg","turk20",4,"b22.csv"
5,20041,"bullet","circle-resid",NA,11,"Images/Lineups/svgs/fileb20b4d3436ac.svg","turk20",5,"b31.csv"
6,19918,"bullet","circle-resid",NA,7,"Images/Lineups/svgs/fileb20b5547d9b4.svg","turk20",6,"b32.csv"
7,19928,"bullet","circle-resid",NA,11,"Images/Lineups/svgs/fileb20b7048bcbd.svg","turk20",7,"b41.csv"
8,19903,"bullet","circle-resid",NA,4,"Images/Lineups/svgs/fileb20b2c69a561.svg","turk20",8,"b42.csv"
9,19730,"bullet","circle-resid",NA,10,"Images/Lineups/svgs/fileb20b5a905245.svg","turk20",9,"b51.csv"
10,20008,"bullet","circle-resid",NA,5,"Images/Lineups/svgs/fileb20b2f5d4ad2.svg","turk20",10,"b52.csv"
11,19869,"bullet","circle-resid",NA,6,"Images/Lineups/svgs/fileb20b34417376.svg","turk20",11,"b61.csv"
12,20156,"bullet","circle-resid",NA,2,"Images/Lineups/svgs/fileb20b35e439c2.svg","turk20",12,"b62.csv"
