"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
1,20,"turk13-Standard-Inner-Multiple-rep1","20-2",2,14,"filebab6558ba4c4-multiple.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
2,20,"turk13-Standard-Inner-Single-rep1","20-2",1,14,"filebab6558ba4c4-single.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
3,20,"turk13-Standard-Outer-Multiple-rep1","20-2",2,5,"filebab642ee6bbc-multiple.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
4,20,"turk13-Standard-Outer-Single-rep1","20-2",1,5,"filebab642ee6bbc-single.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
5,20,"turk13-Rotated-Inner-Multiple-rep1","20-2",2,14,"filebab653677e4c-multiple.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
6,20,"turk13-Rotated-Inner-Single-rep1","20-2",1,14,"filebab653677e4c-single.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
7,20,"turk13-Rotated-Outer-Single-rep1","20-2",1,5,"filebab62f94da5b-single.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
8,20,"turk13-Rotated-Outer-Multiple-rep1","20-2",2,5,"filebab62f94da5b-multiple.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
9,20,"turk13-Control-Inner-Single-rep1","20-2",1,14,"filebab632e325f8-single.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
10,20,"turk13-Control-Inner-Multiple-rep1","20-2",2,14,"filebab632e325f8-multiple.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
11,20,"turk13-Control-Outer-Multiple-rep1","20-2",2,5,"filebab65ed1d6e1-multiple.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
12,20,"turk13-Control-Outer-Single-rep1","20-2",1,5,"filebab65ed1d6e1-single.svg","turk13",1,"data-1-1-1-20-2-14-5.csv",FALSE
13,30,"turk13-Standard-Inner-Multiple-rep1","30-10",2,14,"filebab61ebac1ee-multiple.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
14,30,"turk13-Standard-Inner-Single-rep1","30-10",1,14,"filebab61ebac1ee-single.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
15,30,"turk13-Standard-Outer-Multiple-rep1","30-10",2,16,"filebab677120004-multiple.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
16,30,"turk13-Standard-Outer-Single-rep1","30-10",1,16,"filebab677120004-single.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
17,30,"turk13-Rotated-Inner-Multiple-rep1","30-10",2,14,"filebab622727e69-multiple.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
18,30,"turk13-Rotated-Inner-Single-rep1","30-10",1,14,"filebab622727e69-single.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
19,30,"turk13-Rotated-Outer-Single-rep1","30-10",1,16,"filebab6ac9312a-single.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
20,30,"turk13-Rotated-Outer-Multiple-rep1","30-10",2,16,"filebab6ac9312a-multiple.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
21,30,"turk13-Control-Inner-Single-rep1","30-10",1,14,"filebab63ebf43ae-single.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
22,30,"turk13-Control-Inner-Multiple-rep1","30-10",2,14,"filebab63ebf43ae-multiple.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
23,30,"turk13-Control-Outer-Multiple-rep1","30-10",2,16,"filebab67ef474b0-multiple.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
24,30,"turk13-Control-Outer-Single-rep1","30-10",1,16,"filebab67ef474b0-single.svg","turk13",2,"data-1-1-10-30-10-14-16.csv",FALSE
25,50,"turk13-Standard-Inner-Multiple-rep1","50-10",2,9,"filebab6255aada3-multiple.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
26,50,"turk13-Standard-Inner-Single-rep1","50-10",1,9,"filebab6255aada3-single.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
27,50,"turk13-Standard-Outer-Multiple-rep1","50-10",2,4,"filebab6643dbb7d-multiple.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
28,50,"turk13-Standard-Outer-Single-rep1","50-10",1,4,"filebab6643dbb7d-single.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
29,50,"turk13-Rotated-Inner-Multiple-rep1","50-10",2,9,"filebab663190fed-multiple.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
30,50,"turk13-Rotated-Inner-Single-rep1","50-10",1,9,"filebab663190fed-single.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
31,50,"turk13-Rotated-Outer-Single-rep1","50-10",1,4,"filebab6264c36f-single.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
32,50,"turk13-Rotated-Outer-Multiple-rep1","50-10",2,4,"filebab6264c36f-multiple.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
33,50,"turk13-Control-Inner-Single-rep1","50-10",1,9,"filebab610e03ef5-single.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
34,50,"turk13-Control-Inner-Multiple-rep1","50-10",2,9,"filebab610e03ef5-multiple.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
35,50,"turk13-Control-Outer-Multiple-rep1","50-10",2,4,"filebab672454f7a-multiple.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
36,50,"turk13-Control-Outer-Single-rep1","50-10",1,4,"filebab672454f7a-single.svg","turk13",3,"data-1-1-11-50-10-9-4.csv",FALSE
37,75,"turk13-Standard-Inner-Multiple-rep1","75-10",2,12,"filebab654b44b6c-multiple.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
38,75,"turk13-Standard-Inner-Single-rep1","75-10",1,12,"filebab654b44b6c-single.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
39,75,"turk13-Standard-Outer-Multiple-rep1","75-10",2,19,"filebab68c3cae6-multiple.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
40,75,"turk13-Standard-Outer-Single-rep1","75-10",1,19,"filebab68c3cae6-single.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
41,75,"turk13-Rotated-Inner-Multiple-rep1","75-10",2,12,"filebab624650d32-multiple.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
42,75,"turk13-Rotated-Inner-Single-rep1","75-10",1,12,"filebab624650d32-single.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
43,75,"turk13-Rotated-Outer-Single-rep1","75-10",1,19,"filebab666456048-single.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
44,75,"turk13-Rotated-Outer-Multiple-rep1","75-10",2,19,"filebab666456048-multiple.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
45,75,"turk13-Control-Inner-Single-rep1","75-10",1,12,"filebab66e3dc688-single.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
46,75,"turk13-Control-Inner-Multiple-rep1","75-10",2,12,"filebab66e3dc688-multiple.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
47,75,"turk13-Control-Outer-Multiple-rep1","75-10",2,19,"filebab619b54343-multiple.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
48,75,"turk13-Control-Outer-Single-rep1","75-10",1,19,"filebab619b54343-single.svg","turk13",4,"data-1-1-12-75-10-12-19.csv",FALSE
49,30,"turk13-Standard-Inner-Multiple-rep1","30-2",2,9,"filebab65c28de1a-multiple.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
50,30,"turk13-Standard-Inner-Single-rep1","30-2",1,9,"filebab65c28de1a-single.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
51,30,"turk13-Standard-Outer-Multiple-rep1","30-2",2,4,"filebab67f0dac3a-multiple.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
52,30,"turk13-Standard-Outer-Single-rep1","30-2",1,4,"filebab67f0dac3a-single.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
53,30,"turk13-Rotated-Inner-Multiple-rep1","30-2",2,9,"filebab64b52f0e4-multiple.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
54,30,"turk13-Rotated-Inner-Single-rep1","30-2",1,9,"filebab64b52f0e4-single.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
55,30,"turk13-Rotated-Outer-Single-rep1","30-2",1,4,"filebab632452f5e-single.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
56,30,"turk13-Rotated-Outer-Multiple-rep1","30-2",2,4,"filebab632452f5e-multiple.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
57,30,"turk13-Control-Inner-Single-rep1","30-2",1,9,"filebab65aa65500-single.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
58,30,"turk13-Control-Inner-Multiple-rep1","30-2",2,9,"filebab65aa65500-multiple.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
59,30,"turk13-Control-Outer-Multiple-rep1","30-2",2,4,"filebab65e16a17e-multiple.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
60,30,"turk13-Control-Outer-Single-rep1","30-2",1,4,"filebab65e16a17e-single.svg","turk13",5,"data-1-1-2-30-2-9-4.csv",FALSE
61,50,"turk13-Standard-Inner-Multiple-rep1","50-2",2,8,"filebab66dd98855-multiple.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
62,50,"turk13-Standard-Inner-Single-rep1","50-2",1,8,"filebab66dd98855-single.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
63,50,"turk13-Standard-Outer-Multiple-rep1","50-2",2,18,"filebab66485bcca-multiple.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
64,50,"turk13-Standard-Outer-Single-rep1","50-2",1,18,"filebab66485bcca-single.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
65,50,"turk13-Rotated-Inner-Multiple-rep1","50-2",2,8,"filebab61fc48774-multiple.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
66,50,"turk13-Rotated-Inner-Single-rep1","50-2",1,8,"filebab61fc48774-single.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
67,50,"turk13-Rotated-Outer-Single-rep1","50-2",1,18,"filebab61f98e0f7-single.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
68,50,"turk13-Rotated-Outer-Multiple-rep1","50-2",2,18,"filebab61f98e0f7-multiple.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
69,50,"turk13-Control-Inner-Single-rep1","50-2",1,8,"filebab682da555-single.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
70,50,"turk13-Control-Inner-Multiple-rep1","50-2",2,8,"filebab682da555-multiple.svg","turk13",6,"data-1-1-3-50-2-8-18.csv",FALSE
