"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
601,50,"turk10-Standard-Inner-Single-rep1","trial50-2",1,14,"fileab0914122b00-single.svg","turk13",1,"trialdata-1-1-1-50-2-14-6.csv",TRUE
602,50,"turk10-Standard-Outer-Single-rep1","trial50-2",1,6,"fileab0934c5174b-single.svg","turk13",1,"trialdata-1-1-1-50-2-14-6.csv",TRUE
603,50,"turk10-Rotated-Inner-Single-rep1","trial50-2",1,14,"fileab096c597b2-single.svg","turk13",1,"trialdata-1-1-1-50-2-14-6.csv",TRUE
604,50,"turk10-Rotated-Outer-Single-rep1","trial50-2",1,6,"fileab09166a2a97-single.svg","turk13",1,"trialdata-1-1-1-50-2-14-6.csv",TRUE
605,50,"turk10-Control-Inner-Single-rep1","trial50-2",1,14,"fileab09777c57fd-single.svg","turk13",1,"trialdata-1-1-1-50-2-14-6.csv",TRUE
606,50,"turk10-Control-Outer-Single-rep1","trial50-2",1,6,"fileab09474e054-single.svg","turk13",1,"trialdata-1-1-1-50-2-14-6.csv",TRUE
607,75,"turk10-Standard-Inner-Single-rep1","trial75-2",1,9,"fileab092d34a490-single.svg","turk13",2,"trialdata-1-1-2-75-2-9-16.csv",TRUE
608,75,"turk10-Standard-Outer-Single-rep1","trial75-2",1,16,"fileab095b20011f-single.svg","turk13",2,"trialdata-1-1-2-75-2-9-16.csv",TRUE
609,75,"turk10-Rotated-Inner-Single-rep1","trial75-2",1,9,"fileab091533ad15-single.svg","turk13",2,"trialdata-1-1-2-75-2-9-16.csv",TRUE
610,75,"turk10-Rotated-Outer-Single-rep1","trial75-2",1,16,"fileab0973a84892-single.svg","turk13",2,"trialdata-1-1-2-75-2-9-16.csv",TRUE
611,75,"turk10-Control-Inner-Single-rep1","trial75-2",1,9,"fileab091229c8f6-single.svg","turk13",2,"trialdata-1-1-2-75-2-9-16.csv",TRUE
612,75,"turk10-Control-Outer-Single-rep1","trial75-2",1,16,"fileab09754897ca-single.svg","turk13",2,"trialdata-1-1-2-75-2-9-16.csv",TRUE
613,50,"turk10-Standard-Inner-Single-rep1","trial50-5",1,12,"fileab094a89203b-single.svg","turk13",3,"trialdata-1-1-3-50-5-12-11.csv",TRUE
614,50,"turk10-Standard-Outer-Single-rep1","trial50-5",1,11,"fileab0970a327b7-single.svg","turk13",3,"trialdata-1-1-3-50-5-12-11.csv",TRUE
615,50,"turk10-Rotated-Inner-Single-rep1","trial50-5",1,12,"fileab0970e58aed-single.svg","turk13",3,"trialdata-1-1-3-50-5-12-11.csv",TRUE
616,50,"turk10-Rotated-Outer-Single-rep1","trial50-5",1,11,"fileab096e040782-single.svg","turk13",3,"trialdata-1-1-3-50-5-12-11.csv",TRUE
617,50,"turk10-Control-Inner-Single-rep1","trial50-5",1,12,"fileab0967849926-single.svg","turk13",3,"trialdata-1-1-3-50-5-12-11.csv",TRUE
618,50,"turk10-Control-Outer-Single-rep1","trial50-5",1,11,"fileab093262c2e2-single.svg","turk13",3,"trialdata-1-1-3-50-5-12-11.csv",TRUE
