"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,1,1,1,1,14,"Images/Lineups/svgs/sGNEDvyTbmc0S.svg","turk18",1,1
2,1,1,1,1,7,"Images/Lineups/svgs/stIRd4RgYiKim.svg","turk18",1,1
3,1,1,1,1,17,"Images/Lineups/svgs/siYoWIJ41kFKg.svg","turk18",1,1
4,1,1,1,1,4,"Images/Lineups/svgs/somk5KHrt4rxf.svg","turk18",1,1
5,1,1,1,1,12,"Images/Lineups/svgs/sO8boOW6VaCZL.svg","turk18",1,1
6,1,1,1,1,17,"Images/Lineups/svgs/siJGk1Rn2j4gh.svg","turk18",1,1
7,1,1,1,1,13,"Images/Lineups/svgs/s6ao40YpmHo4j.svg","turk18",1,1
8,1,1,1,1,3,"Images/Lineups/svgs/sVYulIVDfF1cG.svg","turk18",1,1
9,1,1,1,1,17,"Images/Lineups/svgs/sKIqYBpN3YYOl.svg","turk18",1,1
10,1,1,1,1,16,"Images/Lineups/svgs/srr2ucMkXx7D6.svg","turk18",1,1
