"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,248,"smallfriends-eff2","m-12-rep-1",NA,8,"Images/Lineups/svgs/filebe73766c3aa2.svg","turk21",NA,"smallfriends-eff2-m-12-rep-1.csv"
2,266,"smallfriends-eff2","m-12-rep-12",NA,1,"Images/Lineups/svgs/filebe735f5bc171.svg","turk21",NA,"smallfriends-eff2-m-12-rep-12.csv"
3,248,"smallfriends-eff2","m-12-rep-16",NA,7,"Images/Lineups/svgs/filebe73509a4e7.svg","turk21",NA,"smallfriends-eff2-m-12-rep-16.csv"
4,259,"smallfriends-eff2","m-12-rep-17",NA,7,"Images/Lineups/svgs/filebe73321ba7a5.svg","turk21",NA,"smallfriends-eff2-m-12-rep-17.csv"
5,245,"smallfriends-eff2","m-12-rep-20",NA,4,"Images/Lineups/svgs/filebe7336f260bc.svg","turk21",NA,"smallfriends-eff2-m-12-rep-20.csv"
6,252,"smallfriends-eff2-rev","m-12-rep-12",NA,12,"Images/Lineups/svgs/filebe7317a82eb0.svg","turk21",NA,"smallfriends-eff2-rev-m-12-rep-12.csv"
7,249,"smallfriends-eff2-rev","m-12-rep-17",NA,1,"Images/Lineups/svgs/filebe7331119419.svg","turk21",NA,"smallfriends-eff2-rev-m-12-rep-17.csv"
8,258,"smallfriends-eff2-rev","m-12-rep-4",NA,1,"Images/Lineups/svgs/filebe734f526e96.svg","turk21",NA,"smallfriends-eff2-rev-m-12-rep-4.csv"
9,239,"smallfriends-eff2-rev","m-12-rep-8",NA,2,"Images/Lineups/svgs/filebe735601d6ba.svg","turk21",NA,"smallfriends-eff2-rev-m-12-rep-8.csv"
10,250,"smallfriends-eff2-rev","m-12-rep-9",NA,5,"Images/Lineups/svgs/filebe737cc07d00.svg","turk21",NA,"smallfriends-eff2-rev-m-12-rep-9.csv"
11,252,"smallfriends","m-12-rep-11",NA,12,"Images/Lineups/svgs/filebe736c60b80e.svg","turk21",NA,"smallfriends-m-12-rep-11.csv"
12,264,"smallfriends","m-12-rep-13",NA,2,"Images/Lineups/svgs/filebe7349f9e53b.svg","turk21",NA,"smallfriends-m-12-rep-13.csv"
13,267,"smallfriends","m-12-rep-18",NA,8,"Images/Lineups/svgs/filebe7322537455.svg","turk21",NA,"smallfriends-m-12-rep-18.csv"
14,253,"smallfriends","m-12-rep-19",NA,6,"Images/Lineups/svgs/filebe7345989f6a.svg","turk21",NA,"smallfriends-m-12-rep-19.csv"
15,273,"smallfriends","m-12-rep-20",NA,10,"Images/Lineups/svgs/filebe731cfc6fee.svg","turk21",NA,"smallfriends-m-12-rep-20.csv"
16,277,"smallfriends","m-12-rep-3",NA,6,"Images/Lineups/svgs/filebe735019f8c3.svg","turk21",NA,"smallfriends-m-12-rep-3.csv"
17,238,"smallfriends","m-12-rep-4",NA,1,"Images/Lineups/svgs/filebe731088050d.svg","turk21",NA,"smallfriends-m-12-rep-4.csv"
18,262,"smallfriends","m-12-rep-6",NA,6,"Images/Lineups/svgs/filebe736c633df2.svg","turk21",NA,"smallfriends-m-12-rep-6.csv"
19,258,"smallfriends","m-12-rep-7",NA,12,"Images/Lineups/svgs/filebe736e287322.svg","turk21",NA,"smallfriends-m-12-rep-7.csv"
20,249,"smallfriends","m-12-rep-8",NA,5,"Images/Lineups/svgs/filebe73333ae77b.svg","turk21",NA,"smallfriends-m-12-rep-8.csv"
21,274,"smallfriends-rev","m-12-rep-15",NA,6,"Images/Lineups/svgs/filebe735cfca885.svg","turk21",NA,"smallfriends-rev-m-12-rep-15.csv"
22,275,"smallfriends-rev","m-12-rep-18",NA,12,"Images/Lineups/svgs/filebe7340ffc868.svg","turk21",NA,"smallfriends-rev-m-12-rep-18.csv"
23,258,"smallfriends-rev","m-12-rep-2",NA,12,"Images/Lineups/svgs/filebe73c08e44b.svg","turk21",NA,"smallfriends-rev-m-12-rep-2.csv"
24,267,"smallfriends-rev","m-12-rep-20",NA,6,"Images/Lineups/svgs/filebe7350b50577.svg","turk21",NA,"smallfriends-rev-m-12-rep-20.csv"
25,251,"smallfriends-rev","m-12-rep-4",NA,4,"Images/Lineups/svgs/filebe736b397be.svg","turk21",NA,"smallfriends-rev-m-12-rep-4.csv"
