pic_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name
1211,NA,dens,0.8,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4027b7b7.svg,turk22,NA,dens_neg_easy_1.csv
1212,NA,dens,0.8,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5af07587.svg,turk22,NA,dens_neg_easy_2.csv
1213,NA,dens,0.8,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c91e3212.svg,turk22,NA,dens_neg_easy_3.csv
3211,NA,dens,0.9,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c6835a334.svg,turk22,NA,dens_neg_hard_1.csv
3212,NA,dens,0.9,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7802ea3b.svg,turk22,NA,dens_neg_hard_2.csv
3213,NA,dens,0.9,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4374358.svg,turk22,NA,dens_neg_hard_3.csv
2211,NA,dens,0.85,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c57602d7f.svg,turk22,NA,dens_neg_med_1.csv
2212,NA,dens,0.85,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c70c795c1.svg,turk22,NA,dens_neg_med_2.csv
2213,NA,dens,0.85,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c2af29277.svg,turk22,NA,dens_neg_med_3.csv
1111,NA,dens,1.5,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c27f44fc.svg,turk22,NA,dens_pos_easy_1.csv
1112,NA,dens,1.5,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c3f6e54ce.svg,turk22,NA,dens_pos_easy_2.csv
1113,NA,dens,1.5,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c52d14844.svg,turk22,NA,dens_pos_easy_3.csv
3111,NA,dens,1.2,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23cbc903b6.svg,turk22,NA,dens_pos_hard_1.csv
3112,NA,dens,1.2,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c3c3ce4e8.svg,turk22,NA,dens_pos_hard_2.csv
3113,NA,dens,1.2,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4061399e.svg,turk22,NA,dens_pos_hard_3.csv
2111,NA,dens,1.35,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c44e3f9a1.svg,turk22,NA,dens_pos_med_1.csv
2112,NA,dens,1.35,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c15883e72.svg,turk22,NA,dens_pos_med_2.csv
2113,NA,dens,1.35,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c6fc1c7b3.svg,turk22,NA,dens_pos_med_3.csv
1231,NA,jttp,-3,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5df8087e.svg,turk22,NA,jttp_neg_easy_1.csv
1232,NA,jttp,-3,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c43469a2f.svg,turk22,NA,jttp_neg_easy_2.csv
1233,NA,jttp,-3,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c20e5a5ce.svg,turk22,NA,jttp_neg_easy_3.csv
3231,NA,jttp,-1.5,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c1f2f72ca.svg,turk22,NA,jttp_neg_hard_1.csv
3232,NA,jttp,-1.5,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5249e936.svg,turk22,NA,jttp_neg_hard_2.csv
3233,NA,jttp,-1.5,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c3bfaacde.svg,turk22,NA,jttp_neg_hard_3.csv
2231,NA,jttp,-2,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c37b330ec.svg,turk22,NA,jttp_neg_med_1.csv
2232,NA,jttp,-2,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c32191191.svg,turk22,NA,jttp_neg_med_2.csv
2233,NA,jttp,-2,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c416ee5f5.svg,turk22,NA,jttp_neg_med_3.csv
